,date,state,positive,death,total,temp,stp,wdsp,prcp,fog,coronavirus,covid,dry cough,fever,shortness of breath,face mask,Chinawords,Italywords,USwords,Outbreakwords,twitter_number
1434,2020-03-14,CT,11.0,0.0,136,43.7,18.5,7.4,0.43,0,81,52,100,90,44,8,492,209,930,234,1099324
1433,2020-03-14,CO,101.0,1.0,711,24.6,665.2,11.9,99.99,1,82,57,34,88,39,4,492,209,930,234,1099324
1432,2020-03-14,CA,252.0,5.0,1168,57.9,6.3,5.2,0.0,1,83,49,83,93,80,10,492,209,930,234,1099324
1431,2020-03-14,AZ,12.0,0.0,183,58.5,967.5,5.4,0.13,0,79,35,49,65,57,4,492,209,930,234,1099324
1430,2020-03-14,AR,12.0,0.0,103,47.0,11.9,7.2,0.11,1,72,41,69,58,72,7,492,209,930,234,1099324
1429,2020-03-14,AL,6.0,0.0,74,67.1,999.9,2.9,0.0,0,81,47,54,68,64,13,492,209,930,234,1099324
1440,2020-03-14,IA,17.0,0.0,100,32.5,995.9,8.6,0.0,1,64,35,31,78,30,5,492,209,930,234,1099324
1452,2020-03-14,MO,4.0,0.0,94,42.1,6.7,6.7,0.28,1,73,39,53,79,72,7,492,209,930,234,1099324
1463,2020-03-14,OH,13.0,0.0,222,35.9,986.0,4.0,99.99,1,74,49,100,68,60,10,492,209,930,234,1099324
1454,2020-03-14,MT,5.0,0.0,108,14.7,999.9,999.9,0.1,0,83,39,54,43,54,10,492,209,930,234,1099324
1453,2020-03-14,MS,6.0,0.0,90,68.5,10.5,5.0,0.0,0,74,36,94,39,0,9,492,209,930,234,1099324
1478,2020-03-14,WY,2.0,0.0,2,27.9,833.3,7.1,0.19,1,71,53,0,38,73,0,492,209,930,234,1099324
1477,2020-03-14,WV,0.0,0.0,31,44.9,992.3,4.0,0.13,1,90,41,31,62,0,7,492,209,930,234,1099324
1476,2020-03-14,WI,19.0,0.0,188,29.8,995.2,5.7,0.0,0,78,44,55,89,48,7,492,209,930,234,1099324
1475,2020-03-14,WA,806.0,51.0,17589,22.8,866.8,4.0,0.37,1,82,58,51,100,87,6,492,209,930,234,1099324
1474,2020-03-14,VT,4.0,0.0,231,36.7,978.2,12.7,0.36,0,84,50,0,31,98,12,492,209,930,234,1099324
1473,2020-03-14,VA,30.0,0.0,147,52.7,9.3,4.0,0.0,0,78,49,87,86,62,8,492,209,930,234,1099324
1472,2020-03-14,UT,6.0,0.0,137,45.5,857.7,6.9,0.0,0,67,51,85,64,23,4,492,209,930,234,1099324
1471,2020-03-14,TX,51.0,0.0,51,72.8,987.0,10.4,0.0,1,77,44,76,88,84,7,492,209,930,234,1099324
1470,2020-03-14,TN,32.0,0.0,162,57.0,999.9,5.2,0.0,0,76,36,81,64,20,7,492,209,930,234,1099324
1469,2020-03-14,SD,9.0,0.0,194,27.4,967.4,14.6,0.05,1,72,35,51,40,0,6,492,209,930,234,1099324
1468,2020-03-14,SC,13.0,0.0,123,66.4,16.9,2.2,0.0,1,64,41,23,69,28,5,492,209,930,234,1099324
1464,2020-03-14,OK,4.0,0.0,77,43.4,985.5,8.1,0.73,1,61,28,100,43,31,7,492,209,930,234,1099324
1466,2020-03-14,PA,47.0,0.0,402,45.3,9.8,5.2,0.0,0,80,47,65,73,71,5,492,209,930,234,1099324
1456,2020-03-14,ND,1.0,0.0,69,17.4,976.9,9.1,0.0,0,72,45,89,50,0,9,492,209,930,234,1099324
1457,2020-03-14,NE,14.0,0.0,127,32.2,960.9,12.2,0.38,1,67,42,30,72,0,3,492,209,930,234,1099324
1458,2020-03-14,NH,7.0,0.0,250,40.8,995.1,10.8,0.69,0,71,51,33,31,49,6,492,209,930,234,1099324
1459,2020-03-14,NJ,50.0,1.0,227,51.7,19.4,9.5,0.02,0,77,46,89,84,72,8,492,209,930,234,1099324
1455,2020-03-14,NC,23.0,0.0,160,61.2,1.5,4.2,0.01,1,74,43,63,72,69,7,492,209,930,234,1099324
1461,2020-03-14,NV,20.0,0.0,188,44.6,826.9,16.5,0.0,1,84,45,86,69,56,5,492,209,930,234,1099324
1462,2020-03-14,NY,524.0,0.0,3303,37.9,972.5,11.0,0.05,0,81,47,92,82,78,16,492,209,930,234,1099324
1467,2020-03-14,RI,20.0,0.0,275,46.2,17.9,10.9,0.25,0,82,45,25,96,37,9,492,209,930,234,1099324
1465,2020-03-14,OR,30.0,0.0,524,30.7,999.9,7.8,99.99,1,79,48,58,83,100,6,492,209,930,234,1099324
1460,2020-03-14,NM,10.0,0.0,247,45.7,811.2,8.0,99.99,1,74,43,0,100,35,12,492,209,930,234,1099324
1389,2020-03-15,IA,18.0,0.0,101,29.3,999.8,6.8,0.06,0,95,50,93,30,30,2,470,164,798,254,1086235
1399,2020-03-15,MI,1480.0,0.0,1711,32.4,8.6,5.6,99.99,1,100,54,57,71,54,10,470,164,798,254,1086235
1398,2020-03-15,ME,3.0,0.0,111,30.3,15.2,9.1,0.0,0,98,70,29,59,46,10,470,164,798,254,1086235
1397,2020-03-15,MD,31.0,0.0,125,43.0,999.9,2.8,0.0,0,96,49,62,100,48,5,470,164,798,254,1086235
1396,2020-03-15,MA,64.0,0.0,648,41.3,12.1,7.7,0.0,0,97,72,97,95,57,7,470,164,798,254,1086235
1395,2020-03-15,LA,91.0,2.0,247,69.4,19.7,2.5,0.0,1,100,55,59,54,72,10,470,164,798,254,1086235
1393,2020-03-15,KS,8.0,1.0,143,36.0,993.7,7.4,0.02,1,100,56,71,79,0,6,470,164,798,254,1086235
1392,2020-03-15,IN,19.0,0.0,121,36.6,2.3,7.5,0.19,1,95,47,74,96,27,7,470,164,798,254,1086235
1391,2020-03-15,IL,64.0,0.0,708,32.8,2.5,9.1,0.27,1,100,59,99,79,66,5,470,164,798,254,1086235
1390,2020-03-15,ID,5.0,0.0,179,37.2,840.5,5.3,0.05,1,97,59,40,61,0,5,470,164,798,254,1086235
1388,2020-03-15,HI,2.0,0.0,2,72.4,1.2,6.9,0.03,1,100,51,37,79,0,2,470,164,798,254,1086235
1383,2020-03-15,CT,20.0,0.0,145,43.4,25.5,7.1,0.0,0,100,61,42,95,100,5,470,164,798,254,1086235
1386,2020-03-15,FL,116.0,4.0,1248,74.1,18.9,3.4,0.0,1,100,47,76,89,100,7,470,164,798,254,1086235
1385,2020-03-15,DE,6.0,0.0,74,45.4,999.9,8.7,0.0,0,93,43,0,45,70,4,470,164,798,254,1086235
1384,2020-03-15,DC,16.0,0.0,115,45.0,999.9,4.0,0.0,0,96,54,36,59,47,0,470,164,798,254,1086235
1400,2020-03-15,MN,35.0,0.0,1422,26.6,999.2,5.3,0.0,0,100,68,81,52,89,4,470,164,798,254,1086235
1382,2020-03-15,CO,131.0,1.0,758,28.3,670.4,11.5,0.0,0,100,64,87,66,60,2,470,164,798,254,1086235
1381,2020-03-15,CA,293.0,5.0,1209,55.3,8.4,7.1,0.01,0,100,58,88,98,87,8,470,164,798,254,1086235
1380,2020-03-15,AZ,12.0,0.0,183,63.3,967.4,4.9,0.0,0,100,43,55,61,90,6,470,164,798,254,1086235
1379,2020-03-15,AR,16.0,0.0,149,45.3,17.4,7.9,1.89,1,99,44,100,85,35,3,470,164,798,254,1086235
1378,2020-03-15,AL,12.0,0.0,86,69.2,999.9,3.0,0.0,0,95,51,0,66,20,9,470,164,798,254,1086235
1377,2020-03-15,AK,1.0,0.0,144,18.0,964.5,4.0,0.0,0,90,43,0,24,0,21,470,164,798,254,1086235
1387,2020-03-15,GA,99.0,1.0,99,68.5,10.9,5.2,0.0,0,95,50,85,82,47,6,470,164,798,254,1086235
1401,2020-03-15,MO,5.0,0.0,127,38.1,12.3,7.0,0.19,0,98,43,43,87,24,4,470,164,798,254,1086235
1394,2020-03-15,KY,16.0,0.0,155,36.5,991.9,6.6,99.99,1,100,50,100,72,60,7,470,164,798,254,1086235
1403,2020-03-15,MT,7.0,0.0,167,1.7,999.9,999.9,0.19,0,100,49,0,68,0,4,470,164,798,254,1086235
1402,2020-03-15,MS,10.0,0.0,94,69.0,12.4,5.0,0.0,0,95,45,0,61,65,18,470,164,798,254,1086235
1426,2020-03-15,WV,0.0,0.0,39,37.5,992.9,4.7,0.23,1,98,39,90,78,0,0,470,164,798,254,1086235
1425,2020-03-15,WI,33.0,0.0,346,29.0,0.2,4.3,0.0,0,100,54,62,73,55,5,470,164,798,254,1086235
1424,2020-03-15,WA,939.0,57.0,19311,20.1,877.2,4.2,0.02,0,100,64,70,79,77,4,470,164,798,254,1086235
1423,2020-03-15,VT,4.0,0.0,352,27.2,990.2,7.9,0.0,0,100,71,55,41,84,5,470,164,798,254,1086235
1422,2020-03-15,VA,45.0,1.0,408,42.7,12.4,5.6,99.99,1,100,55,83,83,59,4,470,164,798,254,1086235
1421,2020-03-15,UT,28.0,0.0,159,51.6,860.9,9.0,0.0,0,91,65,86,96,24,10,470,164,798,254,1086235
1420,2020-03-15,TX,56.0,0.0,56,57.9,993.2,8.5,0.0,1,97,45,99,95,49,7,470,164,798,254,1086235
1419,2020-03-15,TN,39.0,0.0,196,45.9,999.9,7.0,0.0,0,100,44,100,80,59,7,470,164,798,254,1086235
1418,2020-03-15,SD,9.0,0.0,342,30.2,967.1,15.8,0.13,0,97,30,100,38,0,0,470,164,798,254,1086235
1417,2020-03-15,SC,19.0,0.0,173,62.0,16.6,3.1,0.01,1,100,56,42,61,52,5,470,164,798,254,1086235
1416,2020-03-15,RI,20.0,0.0,348,44.5,26.1,8.4,0.0,0,100,51,100,78,71,4,470,164,798,254,1086235
1427,2020-03-15,WY,3.0,0.0,3,37.2,836.5,10.7,0.01,0,88,43,0,0,0,0,470,164,798,254,1086235
1414,2020-03-15,OR,36.0,0.0,681,17.4,999.9,15.5,99.99,1,99,56,69,71,50,3,470,164,798,254,1086235
1415,2020-03-15,PA,63.0,0.0,451,43.1,14.3,6.6,0.0,1,100,56,100,95,100,6,470,164,798,254,1086235
1405,2020-03-15,ND,1.0,0.0,100,21.0,976.2,10.7,99.99,1,97,26,0,48,91,0,470,164,798,254,1086235
1406,2020-03-15,NE,17.0,0.0,130,31.2,965.2,8.9,0.1,1,100,55,59,80,0,6,470,164,798,254,1086235
1407,2020-03-15,NH,13.0,0.0,379,34.7,7.1,8.2,0.0,0,100,62,0,73,47,3,470,164,798,254,1086235
1408,2020-03-15,NJ,98.0,2.0,252,47.3,24.5,6.7,0.02,1,100,52,84,79,80,11,470,164,798,254,1086235
1404,2020-03-15,NC,32.0,0.0,410,55.5,1.6,3.3,0.0,1,100,50,60,86,83,7,470,164,798,254,1086235
1410,2020-03-15,NV,21.0,0.0,353,42.8,829.0,17.6,0.0,0,100,47,55,100,40,7,470,164,798,254,1086235
1411,2020-03-15,NY,729.0,3.0,5272,37.4,978.5,7.5,0.0,0,100,56,73,100,71,14,470,164,798,254,1086235
1412,2020-03-15,OH,36.0,0.0,525,34.8,988.0,7.5,99.99,1,100,60,56,74,86,10,470,164,798,254,1086235
1413,2020-03-15,OK,9.0,0.0,139,43.1,993.2,6.7,0.0,1,89,36,33,46,32,7,470,164,798,254,1086235
1409,2020-03-15,NM,13.0,0.0,495,43.6,815.1,4.6,0.0,0,100,46,36,49,0,12,470,164,798,254,1086235
1348,2020-03-16,MI,1933.0,0.0,2235,30.5,2.2,4.6,0.0,0,96,71,49,75,46,5,856,131,883,222,1033232
1339,2020-03-16,ID,5.0,0.0,270,36.4,845.3,4.1,0.07,0,78,64,70,80,86,11,856,131,883,222,1033232
1347,2020-03-16,ME,17.0,0.0,781,23.6,23.1,5.9,0.0,0,85,81,53,96,0,3,856,131,883,222,1033232
1346,2020-03-16,MD,37.0,0.0,131,41.2,999.9,4.3,0.0,0,100,70,43,78,66,7,856,131,883,222,1033232
1345,2020-03-16,MA,97.0,0.0,1296,32.0,18.8,6.9,0.0,0,87,75,100,77,80,7,856,131,883,222,1033232
1344,2020-03-16,LA,114.0,2.0,302,59.3,19.3,3.5,0.0,0,99,70,17,85,31,8,856,131,883,222,1033232
1343,2020-03-16,KY,21.0,1.0,255,39.5,990.6,2.4,99.99,1,92,61,0,58,41,2,856,131,883,222,1033232
1342,2020-03-16,KS,11.0,1.0,177,39.4,986.0,4.3,0.11,1,93,69,0,88,32,3,856,131,883,222,1033232
1341,2020-03-16,IN,24.0,1.0,139,41.6,997.0,4.5,0.0,1,99,76,45,95,91,10,856,131,883,222,1033232
1340,2020-03-16,IL,93.0,0.0,1025,36.0,995.2,7.0,0.0,1,93,77,92,100,40,7,856,131,883,222,1033232
1338,2020-03-16,IA,22.0,0.0,105,35.0,990.1,6.3,0.0,0,100,65,40,82,76,5,856,131,883,222,1033232
1332,2020-03-16,CT,26.0,0.0,151,34.8,31.4,6.4,0.0,0,93,67,12,100,24,11,856,131,883,222,1033232
1336,2020-03-16,GA,121.0,1.0,121,61.2,12.3,5.9,0.0,0,96,62,75,83,89,7,856,131,883,222,1033232
1335,2020-03-16,FL,141.0,4.0,1339,73.2,18.3,5.3,0.0,0,99,63,74,100,73,6,856,131,883,222,1033232
1334,2020-03-16,DE,8.0,0.0,76,43.2,999.9,12.9,0.0,0,95,59,34,65,0,5,856,131,883,222,1033232
1333,2020-03-16,DC,17.0,0.0,120,46.5,999.9,3.6,0.0,0,94,60,0,32,0,5,856,131,883,222,1033232
1331,2020-03-16,CO,131.0,1.0,758,31.0,670.4,6.7,0.0,0,92,83,38,100,26,2,856,131,883,222,1033232
1330,2020-03-16,CA,335.0,6.0,8316,51.7,5.8,4.8,0.09,1,99,78,77,95,100,7,856,131,883,222,1033232
1329,2020-03-16,AZ,18.0,0.0,206,64.4,965.6,4.1,0.0,0,99,63,48,88,49,8,856,131,883,222,1033232
1328,2020-03-16,AR,22.0,0.0,168,43.3,14.7,4.5,0.67,1,86,56,28,69,44,4,856,131,883,222,1033232
1327,2020-03-16,AL,28.0,0.0,96,65.5,999.9,4.6,0.0,0,91,67,30,64,35,5,856,131,883,222,1033232
1326,2020-03-16,AK,1.0,0.0,144,24.9,999.9,5.1,0.0,0,79,57,0,43,0,6,856,131,883,222,1033232
1349,2020-03-16,MN,54.0,0.0,1893,32.9,985.9,8.4,0.0,1,93,86,87,52,59,5,856,131,883,222,1033232
1337,2020-03-16,HI,7.0,0.0,7,72.6,999.8,4.8,0.25,0,81,62,66,41,0,5,856,131,883,222,1033232
1350,2020-03-16,MO,6.0,0.0,170,40.3,5.5,4.4,0.01,1,100,58,52,65,61,4,856,131,883,222,1033232
1369,2020-03-16,TX,57.0,0.0,57,60.6,991.2,4.6,0.05,1,96,69,62,94,80,5,856,131,883,222,1033232
1352,2020-03-16,MT,7.0,0.0,205,8.8,999.9,999.9,0.03,0,83,48,97,100,0,7,856,131,883,222,1033232
1351,2020-03-16,MS,12.0,0.0,289,62.6,11.7,5.2,0.0,0,86,58,54,99,29,11,856,131,883,222,1033232
1375,2020-03-16,WV,0.0,0.0,84,43.5,991.4,1.2,0.0,1,97,48,0,59,36,6,856,131,883,222,1033232
1374,2020-03-16,WI,47.0,0.0,551,31.0,988.6,6.0,0.0,0,95,65,54,89,54,2,856,131,883,222,1033232
1373,2020-03-16,WA,1067.0,69.0,24047,32.1,881.4,2.4,0.0,0,98,86,76,97,50,6,856,131,883,222,1033232
1372,2020-03-16,VT,8.0,0.0,429,22.0,993.8,3.4,0.0,0,91,95,35,38,80,5,856,131,883,222,1033232
1371,2020-03-16,VA,51.0,1.0,489,42.9,14.4,3.4,0.0,0,95,70,71,99,68,6,856,131,883,222,1033232
1370,2020-03-16,UT,39.0,0.0,170,48.8,861.7,5.7,0.0,0,78,70,100,96,40,7,856,131,883,222,1033232
1368,2020-03-16,TN,52.0,0.0,322,45.3,999.9,2.7,0.0,0,97,61,52,97,26,8,856,131,883,222,1033232
1367,2020-03-16,SD,10.0,0.0,504,32.8,960.9,9.4,0.0,1,92,56,88,68,58,0,856,131,883,222,1033232
1366,2020-03-16,SC,28.0,1.0,263,55.0,20.5,3.5,0.01,0,89,63,47,81,69,6,856,131,883,222,1033232
1365,2020-03-16,RI,21.0,0.0,478,34.3,33.3,8.1,0.0,0,99,74,63,40,32,4,856,131,883,222,1033232
1376,2020-03-16,WY,3.0,0.0,3,26.5,838.8,6.9,0.0,0,74,65,47,33,0,7,856,131,883,222,1033232
1363,2020-03-16,OR,39.0,0.0,800,19.5,999.9,14.0,99.99,1,100,74,70,89,34,4,856,131,883,222,1033232
1364,2020-03-16,PA,76.0,0.0,746,37.2,15.9,6.6,0.0,0,96,75,54,86,65,3,856,131,883,222,1033232
1354,2020-03-16,ND,1.0,0.0,124,26.4,965.5,13.7,99.99,1,86,54,0,67,0,0,856,131,883,222,1033232
1355,2020-03-16,NE,18.0,0.0,188,35.1,957.3,6.9,0.0,0,91,86,52,73,0,7,856,131,883,222,1033232
1356,2020-03-16,NH,13.0,0.0,379,25.4,16.0,4.0,0.0,0,91,73,28,100,83,5,856,131,883,222,1033232
1357,2020-03-16,NJ,178.0,2.0,318,38.0,28.2,6.8,0.0,0,89,62,77,83,41,9,856,131,883,222,1033232
1353,2020-03-16,NC,33.0,0.0,480,48.6,5.5,3.7,0.0,0,96,66,38,90,51,6,856,131,883,222,1033232
1359,2020-03-16,NV,45.0,1.0,213,42.2,829.2,15.8,0.0,0,97,60,25,50,48,5,856,131,883,222,1033232
1360,2020-03-16,NY,950.0,7.0,5493,31.1,981.2,6.5,0.0,0,96,71,84,83,84,12,856,131,883,222,1033232
1361,2020-03-16,OH,50.0,0.0,551,35.7,985.0,4.9,99.99,1,95,75,88,76,56,5,856,131,883,222,1033232
1362,2020-03-16,OK,10.0,0.0,213,46.7,987.6,3.3,0.11,1,92,60,59,68,28,4,856,131,883,222,1033232
1358,2020-03-16,NM,17.0,0.0,583,46.9,812.8,4.2,99.99,1,91,58,49,88,46,4,856,131,883,222,1033232
1297,2020-03-17,MI,2393.0,0.0,3019,40.9,992.7,9.3,0.0,0,84,67,100,87,65,7,1024,107,905,206,1033019
1288,2020-03-17,ID,7.0,0.0,353,38.9,839.7,3.7,0.0,1,71,71,36,78,29,2,1024,107,905,206,1033019
1296,2020-03-17,ME,32.0,0.0,1335,30.7,11.6,3.4,0.0,0,77,83,100,56,80,6,1024,107,905,206,1033019
1295,2020-03-17,MD,57.0,0.0,151,48.1,999.9,3.8,0.0,0,85,67,44,71,67,3,1024,107,905,206,1033019
1294,2020-03-17,MA,118.0,0.0,1751,36.0,8.5,4.6,0.05,1,74,73,53,83,96,7,1024,107,905,206,1033019
1293,2020-03-17,LA,171.0,4.0,457,67.6,16.4,1.9,0.0,0,89,60,49,100,20,7,1024,107,905,206,1033019
1292,2020-03-17,KY,22.0,1.0,317,45.0,986.5,2.1,99.99,1,88,62,43,58,31,7,1024,107,905,206,1033019
1291,2020-03-17,KS,15.0,1.0,397,44.2,985.5,5.9,0.0,1,90,84,25,76,0,6,1024,107,905,206,1033019
1290,2020-03-17,IN,30.0,2.0,159,44.2,993.1,5.7,0.0,0,84,67,27,98,31,5,1024,107,905,206,1033019
1289,2020-03-17,IL,159.0,1.0,1499,40.0,992.9,7.1,0.02,0,82,72,80,85,73,6,1024,107,905,206,1033019
1287,2020-03-17,IA,23.0,0.0,106,36.1,988.8,5.7,0.0,0,84,76,28,61,27,3,1024,107,905,206,1033019
1281,2020-03-17,CT,41.0,0.0,166,38.6,20.6,2.3,0.11,1,82,66,45,90,70,4,1024,107,905,206,1033019
1285,2020-03-17,GA,146.0,1.0,146,63.0,10.7,3.4,0.0,1,87,68,62,77,62,6,1024,107,905,206,1033019
1284,2020-03-17,FL,186.0,6.0,1998,73.7,18.2,4.6,0.0,1,94,70,67,100,61,7,1024,107,905,206,1033019
1283,2020-03-17,DE,16.0,0.0,52,45.1,999.9,7.8,0.0,0,77,65,33,76,61,4,1024,107,905,206,1033019
1282,2020-03-17,DC,22.0,0.0,126,49.7,999.9,5.0,0.0,0,86,59,61,69,35,0,1024,107,905,206,1033019
1280,2020-03-17,CO,160.0,1.0,1216,32.0,668.2,9.1,0.0,0,82,82,47,80,52,4,1024,107,905,206,1033019
1279,2020-03-17,CA,483.0,11.0,8464,43.6,6.4,2.3,0.73,1,87,75,69,90,71,7,1024,107,905,206,1033019
1278,2020-03-17,AZ,20.0,0.0,228,64.9,962.7,2.9,0.0,0,96,60,100,72,87,7,1024,107,905,206,1033019
1277,2020-03-17,AR,22.0,0.0,260,50.1,11.8,3.2,0.27,1,81,61,28,66,29,5,1024,107,905,206,1033019
1276,2020-03-17,AL,36.0,0.0,64,67.7,999.9,2.5,0.0,0,88,60,61,100,54,5,1024,107,905,206,1033019
1275,2020-03-17,AK,3.0,0.0,337,26.2,953.5,5.8,99.99,1,83,56,0,51,0,0,1024,107,905,206,1033019
1298,2020-03-17,MN,60.0,0.0,2336,30.8,984.9,8.7,0.0,0,84,95,61,100,25,6,1024,107,905,206,1033019
1286,2020-03-17,HI,10.0,0.0,10,71.9,999.2,6.0,0.05,1,88,69,0,67,75,3,1024,107,905,206,1033019
1299,2020-03-17,MO,8.0,0.0,215,45.7,3.9,3.1,0.01,0,95,68,60,96,73,2,1024,107,905,206,1033019
1318,2020-03-17,TX,64.0,1.0,1268,69.5,987.8,7.2,0.01,1,93,71,79,94,88,7,1024,107,905,206,1033019
1301,2020-03-17,MT,8.0,0.0,311,26.0,999.9,999.9,0.0,0,73,59,100,70,49,4,1024,107,905,206,1033019
1324,2020-03-17,WV,0.0,0.0,84,48.3,986.4,2.2,0.11,1,93,66,52,47,35,6,1024,107,905,206,1033019
1323,2020-03-17,WI,72.0,0.0,1110,34.8,984.4,8.8,0.0,1,86,69,61,81,34,4,1024,107,905,206,1033019
1322,2020-03-17,WA,1240.0,78.0,28608,37.7,874.9,1.3,0.0,0,88,84,62,92,95,7,1024,107,905,206,1033019
1321,2020-03-17,VT,10.0,0.0,505,32.1,980.6,9.8,0.0,1,82,77,0,80,0,5,1024,107,905,206,1033019
1320,2020-03-17,VA,67.0,1.0,1028,49.9,6.6,4.7,99.99,1,86,72,91,100,74,6,1024,107,905,206,1033019
1319,2020-03-17,UT,51.0,0.0,182,51.5,856.5,7.4,0.0,0,71,76,61,100,100,3,1024,107,905,206,1033019
1325,2020-03-17,WY,10.0,0.0,105,33.7,835.3,7.4,0.0,1,73,78,0,51,0,7,1024,107,905,206,1033019
1317,2020-03-17,TN,73.0,0.0,403,53.8,999.9,1.9,0.0,0,90,65,78,94,34,5,1024,107,905,206,1033019
1316,2020-03-17,SD,11.0,0.0,597,33.6,958.7,10.1,0.04,0,73,46,44,33,0,5,1024,107,905,206,1033019
1315,2020-03-17,SC,33.0,1.0,344,59.0,17.0,1.6,0.03,1,81,71,82,94,34,6,1024,107,905,206,1033019
1314,2020-03-17,RI,23.0,0.0,575,39.3,23.4,7.1,0.1,1,85,74,0,100,0,4,1024,107,905,206,1033019
1300,2020-03-17,MS,21.0,0.0,389,68.4,9.3,2.6,0.0,1,87,64,41,100,0,5,1024,107,905,206,1033019
1312,2020-03-17,OR,47.0,0.0,920,26.9,999.9,8.3,99.99,1,90,77,40,73,44,4,1024,107,905,206,1033019
1311,2020-03-17,OK,17.0,0.0,346,50.7,986.4,5.6,0.04,1,92,63,89,56,56,5,1024,107,905,206,1033019
1310,2020-03-17,OH,67.0,0.0,207,40.6,979.1,5.0,99.99,1,84,77,82,79,87,5,1024,107,905,206,1033019
1309,2020-03-17,NY,1700.0,7.0,7206,36.5,971.9,7.0,0.01,1,85,72,76,94,62,13,1024,107,905,206,1033019
1308,2020-03-17,NV,55.0,1.0,223,38.3,825.5,11.9,0.03,1,85,62,100,56,25,8,1024,107,905,206,1033019
1307,2020-03-17,NM,23.0,0.0,1272,47.1,810.4,6.1,0.0,0,82,59,64,89,45,7,1024,107,905,206,1033019
1306,2020-03-17,NJ,267.0,3.0,485,45.5,19.0,4.9,0.05,1,77,57,89,84,54,10,1024,107,905,206,1033019
1305,2020-03-17,NH,17.0,0.0,567,30.3,2.6,2.7,0.0,1,78,77,28,88,40,4,1024,107,905,206,1033019
1304,2020-03-17,NE,21.0,0.0,227,37.3,957.2,7.2,0.0,1,77,82,39,59,100,2,1024,107,905,206,1033019
1303,2020-03-17,ND,3.0,0.0,223,23.8,962.4,11.8,0.0,0,97,60,77,93,0,8,1024,107,905,206,1033019
1302,2020-03-17,NC,40.0,0.0,514,51.3,0.6,2.2,0.02,1,90,67,75,100,72,5,1024,107,905,206,1033019
1313,2020-03-17,PA,96.0,0.0,975,44.3,6.1,8.2,0.0,0,85,71,48,100,92,3,1024,107,905,206,1033019
1238,2020-03-18,IL,288.0,1.0,2051,42.4,988.4,7.9,0.0,1,78,79,95,96,60,5,1123,174,1005,260,913230
1239,2020-03-18,IN,39.0,2.0,193,43.6,991.3,5.0,0.0,1,78,74,100,95,62,10,1123,174,1005,260,913230
1240,2020-03-18,KS,16.0,1.0,433,54.0,975.3,5.1,0.0,1,82,82,25,94,0,6,1123,174,1005,260,913230
1241,2020-03-18,KY,26.0,1.0,380,48.8,986.4,3.5,99.99,1,84,83,98,74,41,8,1123,174,1005,260,913230
1246,2020-03-18,MI,2913.0,0.0,4128,36.3,997.4,3.7,99.99,1,76,73,89,100,93,7,1123,174,1005,260,913230
1243,2020-03-18,MA,156.0,2.0,2271,42.5,11.6,4.9,0.0,0,69,71,73,86,58,8,1123,174,1005,260,913230
1244,2020-03-18,MD,85.0,0.0,179,48.0,999.9,4.8,0.0,0,80,64,11,67,69,7,1123,174,1005,260,913230
1245,2020-03-18,ME,43.0,0.0,1713,35.7,13.1,5.2,0.14,0,70,92,0,78,0,3,1123,174,1005,260,913230
1237,2020-03-18,ID,9.0,0.0,468,38.3,836.0,4.0,0.0,1,64,69,71,55,43,2,1123,174,1005,260,913230
1242,2020-03-18,LA,240.0,6.0,575,72.4,15.0,4.9,0.0,1,78,74,66,65,41,11,1123,174,1005,260,913230
1236,2020-03-18,IA,29.0,0.0,112,41.5,981.8,6.4,0.73,1,77,82,55,71,52,5,1123,174,1005,260,913230
1230,2020-03-18,CT,68.0,0.0,193,40.1,24.7,3.4,0.01,0,75,69,23,69,60,8,1123,174,1005,260,913230
1234,2020-03-18,GA,197.0,1.0,1508,65.7,10.6,3.5,0.0,1,79,67,29,100,69,8,1123,174,1005,260,913230
1233,2020-03-18,FL,314.0,7.0,2493,74.7,19.0,6.1,0.0,0,86,70,80,91,53,8,1123,174,1005,260,913230
1232,2020-03-18,DE,25.0,0.0,61,48.1,999.9,11.1,0.0,0,78,68,35,100,31,0,1123,174,1005,260,913230
1231,2020-03-18,DC,31.0,0.0,170,52.6,999.9,4.8,0.0,0,75,71,36,36,0,6,1123,174,1005,260,913230
1229,2020-03-18,CO,183.0,2.0,1800,31.1,665.3,9.5,0.0,0,71,81,87,80,61,2,1123,174,1005,260,913230
1228,2020-03-18,CA,611.0,13.0,8592,48.9,4.3,3.9,0.0,0,81,75,87,96,78,8,1123,174,1005,260,913230
1227,2020-03-18,AZ,28.0,0.0,278,61.0,960.3,6.1,0.0,1,85,63,64,77,38,7,1123,174,1005,260,913230
1226,2020-03-18,AR,33.0,0.0,319,55.7,7.6,4.8,0.35,1,76,62,27,42,57,6,1123,174,1005,260,913230
1225,2020-03-18,AL,46.0,0.0,74,66.7,999.9,4.5,0.0,0,80,70,61,91,36,5,1123,174,1005,260,913230
1247,2020-03-18,MN,77.0,0.0,2762,36.1,980.5,4.4,0.01,0,73,90,88,47,26,4,1123,174,1005,260,913230
1235,2020-03-18,HI,14.0,0.0,107,70.9,1.1,6.2,0.5,1,78,77,0,34,37,3,1123,174,1005,260,913230
1224,2020-03-18,AK,6.0,0.0,412,30.9,953.8,8.4,0.0,0,73,71,0,61,0,12,1123,174,1005,260,913230
1248,2020-03-18,MO,13.0,0.0,266,51.4,996.3,6.0,0.16,1,90,78,75,93,41,6,1123,174,1005,260,913230
